Card name;Quantity;Cerny Rytir;Modra Vevericka;Draco;
Chandra's Phoenix,1,65.00 CZK,2.00 EUR,4.69 EUR,
Dragon Hatchling,2,2.00 CZK,0.10 EUR,0.13 EUR,
Fleshpulper Giant,2,2.00 CZK,,,
Goblin Shortcutter,3,2.00 CZK,,,
Nephalia Seakite,2,2.00 CZK,,,
Phantom Warrior,2,2.00 CZK,,,
Regathan Firecat,3,2.00 CZK,,,
Shivan Dragon,1,4.00 CZK,,,
Trained Condor,2,,,,
Chandra's Outrage,1,,,,
Disperse,2,,,,
Essence Scatter,1,,,,
Flames of the Firebrand,2,,,,
Lava Axe,3,,,,
Negate,1,,,,
Opportunity,2,,,,
Shiv's Embrace,2,,,,
Staff of the Flame Magus,1,,,,
Volcanic Geyser,1,,,,
Island,10,,,,
Mountain,16,,,,
